Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs,label
234,9,239,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,6,2,0,0,0,1,0,1,0,1,1,2,1,0,7,6,2,0,0,0,1,0,1,0,1,1,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
56,9,74,10,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,5,0,0,6,8,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,19,19,9,0,0,0,2,0,1,0,22,6,2,16,1,19,19,9,0,0,0,2,0,1,0,22,6,2,16,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
75,9,82,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,2,3,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,9,8,9,0,0,0,1,0,0,0,21,2,2,15,1,9,8,9,0,0,0,1,0,0,0,21,2,2,15,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
83,9,90,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,1,2,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,9,8,9,0,0,0,1,0,0,0,21,2,2,15,1,9,8,9,0,0,0,1,0,0,0,21,2,2,15,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
110,9,134,10,0.0,0,0,0,0.0,0.0,0,0,3,2,1,5,4,0,0,1,4,0.0,0.0,0,0,0,4,0.0,0,2,2,0,0,1,23,25,1,0,1,0,3,0,3,0,3,6,0,3,0,23,25,1,0,1,0,3,0,3,0,3,6,0,3,0,0,0,10,0,5,0,0,2,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,13,223,14,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,1,2,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0,1,8,7,2,0,0,0,1,0,0,0,6,2,0,2,0,8,7,2,0,0,0,1,0,0,0,6,2,0,2,0,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,9,95,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,8,7,1,0,0,0,1,0,1,0,1,1,1,1,0,8,7,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
161,9,182,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,1,1,1,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,20,22,1,0,1,0,2,0,1,0,2,4,0,1,0,20,22,1,0,1,0,2,0,1,0,2,4,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,68,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,11,27,1,4,1.0,0.578947,22,22,4,0,0.578947,22,0,0,0,0,0,16,38,1,0,1,0,3,0,3,0,3,3,0,3,0,16,38,1,0,1,0,3,0,3,0,3,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,0,11,19,0,6,0.571429,0.538462,35,35,4,3,0.538462,35,0,0,0,0,0,30,59,1,0,1,0,6,0,6,0,6,6,0,6,0,30,59,1,0,1,0,6,0,6,0,6,6,0,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,72,2,0.0,0,0,0,0.0,0.0,0,0,6,0,0,7,3,0,0,0,7,0.0,0.0,0,0,0,8,0.0,0,1,1,0,0,1,36,44,1,0,1,0,7,0,7,0,7,7,0,2,0,36,44,1,0,1,0,7,0,7,0,7,7,0,2,0,0,0,18,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
39,1,119,2,0.06875,2,4,2,0.148148,0.152778,12,11,1,2,2,5,12,0,0,15,19,0.0,0.0,0,0,0,5,0.0,0,1,1,0,0,1,74,81,4,0,4,0,4,2,4,0,4,25,2,4,0,74,81,4,0,4,0,4,2,4,0,4,25,2,4,0,0,1,25,2,14,0,0,2,0,9,0,0,0,0,0,1,0,10,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0
45,1,308,2,0.08747519999999999,1,2,2,0.0871212,0.0854271,23,17,1,1,1,21,13,0,0,26,45,0.0,0.09909910000000001,22,0,0,16,0.09909910000000001,22,0,0,0,0,0,200,264,5,0,5,0,19,0,15,1,19,112,0,15,1,200,264,5,0,5,0,19,0,15,1,19,112,0,15,1,0,0,54,18,22,0,0,0,0,12,0,0,0,0,0,1,0,0,41,0,0,0,0,0,15,0,0,0,0,0,0,0,0,7,0,0,0,0,5,13,0,0,0,0
33,1,102,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,5,8,1,1,16,18,0.0,0.19403,13,0,0,2,0.19403,13,0,0,0,0,0,54,70,5,0,5,0,2,0,1,0,2,29,0,1,0,54,70,5,0,5,0,2,0,1,0,2,29,0,1,0,0,0,8,2,11,0,0,0,0,0,0,0,0,0,5,1,0,1,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
28,1,56,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,4,5,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,27,29,0,0,0,0,1,0,1,0,1,15,0,1,0,27,29,0,0,0,0,1,0,1,0,1,15,0,1,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,59,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,0,1,1,0,6,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,25,31,1,0,1,0,6,0,6,0,6,6,0,6,0,25,31,1,0,1,0,6,0,6,0,6,6,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,5,647,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,3,0,0,1,0.5,0.347826,8,8,1,1,0.347826,8,0,0,0,0,0,15,24,4,0,4,0,1,0,1,0,1,4,0,1,0,15,24,4,0,4,0,1,0,1,0,1,4,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,1,173,2,0.0440835,1,2,1,0.0808824,0.0877193,11,10,1,2,2,8,13,1,3,14,20,0.0,0.07594939999999999,6,0,0,6,0.0634921,8,0,0,0,0,0,73,88,5,0,5,0,6,0,5,0,6,40,0,5,0,118,136,6,0,6,0,10,0,9,0,10,55,0,9,0,0,0,39,4,17,0,0,2,0,8,0,1,0,0,4,1,0,4,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,1,1,0,0,0,0
40,1,78,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,8,0,0,13,16,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,36,39,2,0,2,0,3,0,3,1,3,16,0,3,1,36,39,2,0,2,0,3,0,3,1,3,16,0,3,1,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,1,93,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,9,4,1,1,6,11,0.0,0.041666699999999994,2,0,0,5,0.0377358,2,0,0,0,0,0,46,57,2,0,2,0,5,0,4,0,5,17,0,4,0,51,62,2,0,2,0,6,0,5,0,6,18,0,5,0,0,0,19,3,2,0,0,0,0,0,0,1,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1,376,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,38,21,8,20,34,59,0.2,0.0425532,10,6,3,12,0.0359712,10,0,0,0,0,0,225,280,2,11,2,11,25,0,14,0,25,82,0,14,0,268,329,5,13,4,13,32,0,17,0,38,90,0,23,0,0,0,83,5,7,0,0,0,0,0,0,1,0,0,3,1,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0
32,1,152,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,12,14,1,9,25,31,0.0,0.0377358,4,0,0,6,0.035714300000000004,4,0,0,0,0,0,102,115,3,3,3,3,6,0,5,0,6,48,0,5,0,108,121,4,3,3,3,7,0,5,0,9,49,0,7,0,0,0,23,3,2,0,0,0,0,0,0,0,0,0,0,3,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
35,1,82,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,6,11,6,8,11,17,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,37,48,3,5,3,5,6,0,5,0,6,9,0,5,0,37,48,3,5,3,5,6,0,5,0,6,9,0,5,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,327,2,0.14519400000000002,1,2,2,0.11498299999999999,0.0952381,33,22,1,2,2,34,9,0,0,26,47,0.0,0.0373444,9,0,0,13,0.0373444,9,0,0,0,0,0,232,287,5,4,5,4,21,0,12,0,21,127,0,12,0,232,287,5,4,5,4,21,0,12,0,21,127,0,12,0,0,2,61,18,36,0,0,0,0,15,0,0,0,0,0,0,0,32,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,0,0,0,0
44,5,51,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,4,1,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,8,8,0,1,0,1,1,0,1,0,1,1,0,1,0,8,8,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,60,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,4,1,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,8,8,0,1,0,1,1,0,1,0,1,1,0,1,0,8,8,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5,167,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,13,9,2,3,10,15,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,80,87,2,1,2,1,5,1,1,0,5,36,1,1,0,99,106,2,1,2,1,6,1,2,0,6,45,1,2,0,0,0,22,4,4,0,0,2,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0
41,1,110,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,14,1,0,18,20,0.333333,0.09677419999999999,6,1,1,2,0.09677419999999999,6,0,0,0,0,0,56,70,3,0,3,0,2,0,2,0,2,30,0,2,0,56,70,3,0,3,0,2,0,2,0,2,30,0,2,0,0,0,9,8,9,0,0,0,0,0,0,0,0,0,0,2,0,8,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0
48,1,122,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,4,0,0,0,5,0.0,0.0447761,3,0,0,5,0.0447761,3,0,0,0,0,0,64,75,2,0,2,0,5,2,4,0,5,15,2,4,0,64,75,2,0,2,0,5,2,4,0,5,15,2,4,0,0,0,17,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0
30,1,232,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,13,2,0,0,7,16,0.0,0.159091,28,4,0,2,0.159091,28,0,0,0,0,0,148,203,1,0,1,0,9,0,1,0,9,68,0,1,0,148,203,1,0,1,0,9,0,1,0,9,68,0,1,0,0,0,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
21,1,62,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,0,2,2,0,5,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,37,42,5,0,5,0,5,3,5,2,5,12,3,5,2,37,42,5,0,5,0,5,3,5,2,5,12,3,5,2,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
25,1,94,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,9,1,1,1,1,7,0.0,0.015625,1,0,0,7,0.015625,1,0,0,0,0,0,63,70,8,0,8,0,6,3,6,5,6,29,3,6,5,63,70,8,0,8,0,6,3,6,5,6,29,3,6,5,0,0,20,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0
42,1,177,2,0.406934,4,4,4,0.338235,0.37704899999999997,46,46,1,0,0,7,12,1,1,10,17,0.0,0.0,0,0,0,6,0.03125,4,1,1,0,0,1,86,94,3,2,0,1,7,0,5,0,18,45,0,12,2,124,136,10,5,0,2,10,0,8,0,31,64,0,22,3,0,0,69,1,28,0,0,0,0,39,0,0,0,0,0,1,0,22,29,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,119,2,0.29370599999999997,3,3,3,0.321429,0.361111,27,26,1,0,0,6,11,0,0,6,12,0.0,0.07936510000000001,5,5,0,4,0.0641026,5,1,1,0,0,1,58,68,3,3,0,2,6,0,3,0,17,24,0,10,2,73,84,3,4,0,3,9,0,6,0,20,27,0,13,2,0,0,70,0,14,0,0,0,0,42,0,1,0,0,1,1,0,8,26,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,100,2,0.233051,2,2,2,0.212121,0.23333299999999998,14,14,1,0,0,6,10,0,0,6,12,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,55,60,3,3,0,2,6,0,3,0,17,24,0,10,2,61,66,3,4,0,3,7,0,4,0,18,25,0,11,2,0,0,41,0,13,0,0,0,0,21,0,0,0,0,1,0,0,7,20,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,56,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,7,0,0,1,4,0.0,0.0869565,2,0,0,4,0.0869565,2,2,2,0,0,1,21,25,3,2,0,1,3,0,3,0,20,1,0,14,2,21,25,3,2,0,1,3,0,3,0,20,1,0,14,2,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,7,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,11,11,3,2,0,1,1,0,1,0,18,1,0,12,2,11,11,3,2,0,1,1,0,1,0,18,1,0,12,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,185,2,0.303279,1,2,2,0.272109,0.327586,40,38,1,0,0,8,9,2,0,9,16,0.5,0.212963,23,19,3,3,0.170213,24,1,1,2,2,1,85,114,3,2,0,1,7,0,5,0,18,42,0,12,2,117,147,3,5,0,4,10,0,8,0,21,54,0,15,2,0,0,69,1,33,0,0,0,0,39,0,0,0,0,0,0,0,27,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,82,2,0.559322,3,3,3,0.5,0.545455,24,24,1,0,0,4,10,0,0,5,9,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,39,42,3,2,0,1,4,0,3,0,15,11,0,10,2,45,48,3,3,0,2,5,0,4,0,16,12,0,11,2,0,0,43,0,12,0,0,0,0,27,0,0,0,0,0,0,0,8,16,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,82,2,0.559322,3,3,3,0.5,0.545455,24,24,1,0,0,4,10,0,0,5,9,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,39,42,3,2,0,1,4,0,3,0,15,11,0,10,2,45,48,3,3,0,2,5,0,4,0,16,12,0,11,2,0,0,43,0,12,0,0,0,0,27,0,0,0,0,0,0,0,8,16,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,113,2,0.280936,3,3,3,0.364865,0.382353,27,26,1,0,0,3,15,0,0,11,14,0.0,0.018181799999999998,1,0,0,2,0.0142857,1,1,1,0,0,1,54,58,3,2,0,1,3,0,1,0,14,28,0,8,2,69,74,3,3,0,2,6,0,4,0,17,31,0,11,2,0,0,64,0,12,0,0,0,0,41,0,1,0,0,0,1,0,9,21,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,138,2,0.616622,5,5,5,0.480392,0.538462,49,49,1,0,0,6,12,1,1,9,15,0.0,0.0,0,0,0,5,0.03125,3,1,1,0,0,1,63,69,3,2,0,1,6,0,4,0,17,28,0,11,2,93,102,10,5,0,2,9,0,7,0,30,42,0,21,3,0,0,67,1,17,0,0,0,0,39,0,0,0,0,0,1,0,12,27,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,151,2,0.242525,2,4,2,0.25454499999999997,0.268041,28,26,1,4,3,10,9,0,0,12,15,0.0,0.01,1,0,0,4,0.01,1,1,1,0,0,1,99,110,3,1,0,0,3,0,3,0,14,66,0,10,2,99,110,3,1,0,0,3,0,3,0,14,66,0,10,2,0,0,26,4,33,0,0,0,0,17,0,0,0,0,0,0,0,28,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
31,1,79,2,0.8295450000000001,1,2,2,0.428571,0.558824,21,19,1,0,0,3,6,0,0,6,9,0.0,0.22222199999999998,10,0,0,3,0.22222199999999998,10,1,1,0,0,1,35,49,3,1,0,0,3,0,2,0,14,18,0,9,2,35,49,3,1,0,0,3,0,2,0,14,18,0,9,2,0,0,23,1,15,0,0,0,0,16,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,1,75,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,6,0,0,6,9,0.0,0.23809499999999997,10,0,0,3,0.23809499999999997,10,1,1,0,0,1,32,46,3,1,0,0,3,0,2,0,14,18,0,9,2,32,46,3,1,0,0,3,0,2,0,14,18,0,9,2,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,195,2,0.200274,2,4,2,0.18542999999999998,0.22608699999999998,28,26,1,4,3,12,12,0,0,13,17,0.5,0.189394,25,23,2,2,0.176056,25,1,1,0,0,1,107,141,4,1,1,0,4,0,3,0,15,68,0,10,2,117,151,4,2,1,1,5,0,4,0,16,72,0,11,2,0,0,34,7,40,0,0,0,0,17,0,0,0,0,1,1,0,31,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,4,0,0,0
49,1,264,2,0.0889988,1,6,2,0.11111099999999999,0.11538499999999999,24,18,1,2,2,16,18,0,0,23,30,0.0,0.20710100000000004,35,0,0,5,0.182292,35,1,1,0,0,1,134,192,3,1,0,0,7,0,4,1,18,76,0,11,3,157,216,4,1,0,0,10,0,7,1,21,83,1,14,3,0,2,42,6,46,0,0,0,0,12,0,1,0,0,0,1,0,38,25,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0
33,1,76,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,6,0,0,8,12,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,41,44,3,1,0,0,4,0,3,0,15,22,0,10,2,41,44,3,1,0,0,4,0,3,0,15,22,0,10,2,0,0,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,544,2,0.0655738,1,2,2,0.0510204,0.0681115,25,22,1,1,1,21,16,0,0,20,37,0.0625,0.373832,120,9,1,15,0.269663,120,1,1,0,0,1,201,365,3,1,0,0,17,0,15,0,28,106,0,22,2,325,490,9,2,0,0,35,0,32,0,61,136,0,48,2,0,0,134,7,108,0,0,0,0,34,0,0,0,0,0,1,0,90,97,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,0,0
40,1,167,2,0.5056,3,10,10,0.46875,0.5,60,60,1,0,0,3,10,0,0,5,8,0.25,0.0731707,6,6,1,3,0.054263599999999995,7,1,1,0,0,1,76,80,3,1,0,0,3,0,3,0,14,34,0,10,2,122,128,4,6,1,5,9,0,9,0,20,47,0,16,2,0,0,95,3,43,0,0,0,0,59,0,0,0,0,1,0,0,28,36,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
39,1,131,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.0,0.0,0,0,0,2,0.11111099999999999,10,1,1,0,0,1,8,9,3,1,0,0,1,0,1,0,12,1,0,8,2,80,93,32,11,0,0,4,0,4,0,43,49,0,34,4,0,0,22,9,49,0,0,0,0,0,0,0,0,0,1,1,0,25,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,0,0,0,0
40,1,395,2,0.6962470000000001,9,30,20,0.5533710000000001,0.62215,197,191,1,4,3,29,12,0,0,10,20,0.6,0.0985075,33,21,6,4,0.09510089999999999,33,1,1,0,0,1,302,344,3,2,0,1,10,0,9,0,21,179,0,16,2,314,356,3,4,0,3,12,0,11,0,23,181,0,18,2,0,0,109,1,183,0,0,0,0,73,0,0,0,0,0,1,0,103,33,0,0,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
35,1,72,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,9,0,0,6,8,0.0,0.0606061,2,0,0,2,0.051282100000000004,2,1,1,0,0,1,31,32,3,2,0,1,2,0,1,0,13,16,0,8,2,37,38,3,3,0,2,3,0,2,0,14,17,0,9,2,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,124,2,0.09061489999999998,1,1,1,0.107527,0.126582,10,10,1,0,0,5,8,0,0,10,15,0.6,0.101124,9,9,3,2,0.101124,9,1,1,0,0,1,80,93,3,2,0,1,5,0,4,0,16,52,0,11,2,80,93,3,2,0,1,5,0,4,0,16,52,0,11,2,0,0,21,2,81,0,0,0,0,8,0,0,0,0,0,0,0,25,13,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
37,1,131,2,0.5471699999999999,3,6,6,0.48421099999999995,0.534884,46,46,1,0,0,3,9,0,0,10,13,0.5,0.07594939999999999,6,6,2,2,0.06451609999999999,6,1,1,0,0,1,73,81,3,1,0,0,3,0,3,0,14,36,0,10,2,87,95,3,3,0,2,5,0,5,0,16,40,0,12,2,0,0,63,1,63,0,0,0,0,44,0,0,0,0,0,0,0,44,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,1,44,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,7,0,0,1,3,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,16,17,3,3,0,2,2,0,0,0,15,3,0,9,2,16,17,3,3,0,2,2,0,0,0,15,3,0,9,2,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,64,2,0.777778,1,2,2,0.571429,0.606061,20,20,0,0,0,2,10,0,0,1,3,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,22,23,3,3,0,2,2,0,0,0,15,2,0,9,2,34,35,3,5,0,4,4,0,2,0,17,4,0,11,2,0,0,54,0,3,0,0,0,0,37,0,0,0,0,0,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
